DATE,IHLIDXUSTPRETA
2021-07-04,137.39
2021-07-05,137.51
2021-07-06,137.64
2021-07-07,137.82
2021-07-08,138.02
2021-07-09,138.35
2021-07-10,138.43
2021-07-11,138.51
2021-07-12,138.48
2021-07-13,138.55
2021-07-14,138.51
2021-07-15,138.69
2021-07-16,138.73
2021-07-17,138.67
2021-07-18,138.97
2021-07-19,139.37
2021-07-20,139.64
2021-07-21,140.09
2021-07-22,140.05
2021-07-23,140.27
2021-07-24,140.7
2021-07-25,140.68
2021-07-26,140.67
2021-07-27,140.69
2021-07-28,140.77
2021-07-29,140.98
2021-07-30,140.79
2021-07-31,140.83
2021-08-01,140.56
2021-08-02,139.97
2021-08-03,139.41
2021-08-04,138.7
2021-08-05,138.27
2021-08-06,138.02
2021-08-07,137.36
2021-08-08,137.17
2021-08-09,137.24
2021-08-10,137.35
2021-08-11,137.44
2021-08-12,137.47
2021-08-13,137.61
2021-08-14,137.89
2021-08-15,137.98
2021-08-16,138.04
2021-08-17,137.92
2021-08-18,138.08
2021-08-19,138.46
2021-08-20,138.69
2021-08-21,138.87
2021-08-22,139.21
2021-08-23,139.53
2021-08-24,139.88
2021-08-25,140.26
2021-08-26,140.24
2021-08-27,140.32
2021-08-28,140.42
2021-08-29,140.46
2021-08-30,140.57
2021-08-31,140.89
2021-09-01,140.72
2021-09-02,140.56
2021-09-03,140.31
2021-09-04,140.1
2021-09-05,140.05
2021-09-06,139.96
2021-09-07,139.59
2021-09-08,139.47
2021-09-09,139.45
2021-09-10,139.25
2021-09-11,138.94
2021-09-12,138.43
2021-09-13,138.0
2021-09-14,137.96
2021-09-15,137.84
2021-09-16,137.65
2021-09-17,137.39
2021-09-18,137.41
2021-09-19,137.51
2021-09-20,137.53
2021-09-21,137.39
2021-09-22,137.56
2021-09-23,137.64
2021-09-24,137.96
2021-09-25,137.86
2021-09-26,137.9
2021-09-27,137.84
2021-09-28,137.99
2021-09-29,137.71
2021-09-30,137.65
2021-10-01,137.85
2021-10-02,137.95
2021-10-03,137.86
2021-10-04,137.69
2021-10-05,137.62
2021-10-06,137.99
2021-10-07,138.42
2021-10-08,138.66
2021-10-09,139.36
2021-10-10,139.66
2021-10-11,140.43
2021-10-12,140.8
2021-10-13,140.97
2021-10-14,141.09
2021-10-15,141.3
2021-10-16,141.13
2021-10-17,141.45
2021-10-18,141.72
2021-10-19,142.14
2021-10-20,142.63
2021-10-21,143.16
2021-10-22,143.68
2021-10-23,144.46
2021-10-24,145.19
2021-10-25,145.64
2021-10-26,145.88
2021-10-27,145.9
2021-10-28,145.78
2021-10-29,145.69
2021-10-30,145.82
2021-10-31,145.82
2021-11-01,146.01
2021-11-02,146.3
2021-11-03,146.57
2021-11-04,146.91
2021-11-05,147.32
2021-11-06,147.33
2021-11-07,147.59
2021-11-08,147.84
2021-11-09,147.9
2021-11-10,148.23
2021-11-11,148.6
2021-11-12,148.78
2021-11-13,148.69
2021-11-14,148.62
2021-11-15,148.57
2021-11-16,148.74
2021-11-17,148.78
2021-11-18,148.74
2021-11-19,149.54
2021-11-20,150.71
2021-11-21,152.01
2021-11-22,153.21
2021-11-23,153.71
2021-11-24,154.22
2021-11-25,154.68
2021-11-26,154.36
2021-11-27,154.05
2021-11-28,153.52
2021-11-29,153.03
2021-11-30,153.21
2021-12-01,153.45
2021-12-02,153.81
2021-12-03,154.13
2021-12-04,155.56
2021-12-05,156.97
2021-12-06,158.68
2021-12-07,159.96
2021-12-08,161.32
2021-12-09,162.37
2021-12-10,164.04
2021-12-11,164.56
2021-12-12,165.34
2021-12-13,165.82
2021-12-14,166.6
2021-12-15,167.24
2021-12-16,167.23
2021-12-17,166.78
2021-12-18,165.74
2021-12-19,164.61
2021-12-20,163.3
2021-12-21,162.2
2021-12-22,160.78
2021-12-23,160.22
2021-12-24,159.3
2021-12-25,158.96
2021-12-26,158.47
2021-12-27,158.29
2021-12-28,157.86
2021-12-29,157.41
2021-12-30,156.73
2021-12-31,155.75
2022-01-01,154.58
2022-01-02,152.87
2022-01-03,150.93
2022-01-04,148.9
2022-01-05,147.11
2022-01-06,145.66
2022-01-07,144.95
2022-01-08,144.43
2022-01-09,144.47
2022-01-10,144.54
2022-01-11,144.86
2022-01-12,145.18
2022-01-13,145.1
2022-01-14,144.28
2022-01-15,143.74
2022-01-16,143.22
2022-01-17,142.59
2022-01-18,142.01
2022-01-19,141.42
2022-01-20,140.83
2022-01-21,140.7
2022-01-22,140.16
2022-01-23,139.56
2022-01-24,139.12
2022-01-25,138.59
2022-01-26,138.35
2022-01-27,138.27
2022-01-28,138.06
2022-01-29,138.02
2022-01-30,138.32
2022-01-31,138.34
2022-02-01,138.43
2022-02-02,138.17
2022-02-03,138.06
2022-02-04,138.11
2022-02-05,138.09
2022-02-06,137.64
2022-02-07,137.36
2022-02-08,136.99
2022-02-09,136.82
2022-02-10,136.76
2022-02-11,136.67
2022-02-12,136.9
2022-02-13,137.28
2022-02-14,137.7
2022-02-15,138.27
2022-02-16,138.76
2022-02-17,138.78
2022-02-18,139.07
2022-02-19,138.88
2022-02-20,138.7
2022-02-21,138.32
2022-02-22,137.8
2022-02-23,136.97
2022-02-24,136.58
2022-02-25,135.93
2022-02-26,135.43
2022-02-27,134.78
2022-02-28,134.35
2022-03-01,133.91
2022-03-02,133.55
2022-03-03,133.22
2022-03-04,132.91
2022-03-05,132.7
2022-03-06,132.34
2022-03-07,131.98
2022-03-08,131.94
2022-03-09,132.24
2022-03-10,132.5
2022-03-11,132.81
2022-03-12,133.07
2022-03-13,133.52
2022-03-14,133.93
2022-03-15,134.2
2022-03-16,134.24
2022-03-17,134.37
2022-03-18,134.37
2022-03-19,134.42
2022-03-20,134.34
2022-03-21,134.31
2022-03-22,134.18
2022-03-23,133.94
2022-03-24,133.66
2022-03-25,133.42
2022-03-26,133.12
2022-03-27,133.02
2022-03-28,132.9
2022-03-29,132.77
2022-03-30,133.17
2022-03-31,133.47
2022-04-01,133.8
2022-04-02,134.17
2022-04-03,134.46
2022-04-04,134.78
2022-04-05,134.83
2022-04-06,134.61
2022-04-07,134.35
2022-04-08,134.29
2022-04-09,133.72
2022-04-10,132.92
2022-04-11,132.2
2022-04-12,131.73
2022-04-13,131.35
