DATE,IHLIDXUSTPNURS
2022-11-02,163.04
2022-11-03,162.81
2022-11-04,162.88
2022-11-05,162.91
2022-11-06,163.11
2022-11-07,163.39
2022-11-08,163.78
2022-11-09,164.2
2022-11-10,164.62
2022-11-11,164.88
2022-11-12,165.19
2022-11-13,165.42
2022-11-14,165.58
2022-11-15,165.68
2022-11-16,165.79
2022-11-17,165.87
2022-11-18,165.93
2022-11-19,165.88
2022-11-20,165.99
2022-11-21,166.13
2022-11-22,166.35
2022-11-23,166.56
2022-11-24,166.75
2022-11-25,166.86
2022-11-26,167.07
2022-11-27,167.14
2022-11-28,167.22
2022-11-29,167.21
2022-11-30,167.24
2022-12-01,167.08
2022-12-02,166.99
2022-12-03,167.11
2022-12-04,167.06
2022-12-05,166.98
2022-12-06,166.89
2022-12-07,166.67
2022-12-08,166.55
2022-12-09,166.78
2022-12-10,166.78
2022-12-11,167.0
2022-12-12,167.35
2022-12-13,167.76
2022-12-14,168.4
2022-12-15,169.06
2022-12-16,169.38
2022-12-17,169.71
2022-12-18,169.99
2022-12-19,170.18
2022-12-20,170.49
2022-12-21,170.72
2022-12-22,171.02
2022-12-23,171.19
2022-12-24,171.39
2022-12-25,171.57
2022-12-26,171.76
2022-12-27,171.73
2022-12-28,171.66
2022-12-29,171.67
2022-12-30,171.7
2022-12-31,171.7
2023-01-01,171.68
2023-01-02,171.53
2023-01-03,171.38
2023-01-04,171.03
2023-01-05,170.73
2023-01-06,170.54
2023-01-07,170.6
2023-01-08,170.8
2023-01-09,171.14
2023-01-10,171.5
2023-01-11,172.09
2023-01-12,172.53
2023-01-13,172.72
2023-01-14,172.59
2023-01-15,172.33
2023-01-16,172.1
2023-01-17,171.72
2023-01-18,171.33
2023-01-19,170.93
2023-01-20,170.71
2023-01-21,170.46
2023-01-22,170.34
2023-01-23,170.12
2023-01-24,169.99
2023-01-25,169.79
2023-01-26,170.04
2023-01-27,169.82
2023-01-28,169.68
2023-01-29,169.39
2023-01-30,169.19
2023-01-31,169.08
2023-02-01,169.15
2023-02-02,168.51
2023-02-03,168.39
2023-02-04,168.36
2023-02-05,168.39
2023-02-06,168.25
2023-02-07,168.02
2023-02-08,167.48
2023-02-09,167.19
2023-02-10,166.81
2023-02-11,166.52
2023-02-12,166.1
2023-02-13,165.79
2023-02-14,165.49
2023-02-15,165.16
2023-02-16,164.96
2023-02-17,164.72
2023-02-18,164.09
2023-02-19,163.87
2023-02-20,163.7
2023-02-21,163.45
2023-02-22,163.51
2023-02-23,163.62
2023-02-24,163.49
2023-02-25,163.59
2023-02-26,163.38
2023-02-27,163.13
2023-02-28,162.81
2023-03-01,161.87
2023-03-02,161.13
2023-03-03,160.65
2023-03-04,160.07
2023-03-05,159.6
2023-03-06,159.18
2023-03-07,158.74
2023-03-08,158.59
2023-03-09,158.19
2023-03-10,158.32
2023-03-11,158.51
2023-03-12,158.53
2023-03-13,158.31
2023-03-14,158.19
2023-03-15,158.57
2023-03-16,158.97
2023-03-17,158.94
2023-03-18,159.07
2023-03-19,159.1
2023-03-20,159.32
2023-03-21,159.63
2023-03-22,159.65
2023-03-23,159.41
2023-03-24,159.29
2023-03-25,158.99
2023-03-26,158.87
2023-03-27,158.72
2023-03-28,158.63
2023-03-29,158.18
2023-03-30,158.2
2023-03-31,157.72
2023-04-01,157.39
2023-04-02,157.31
2023-04-03,156.99
2023-04-04,156.7
2023-04-05,156.62
2023-04-06,156.34
2023-04-07,156.39
2023-04-08,156.27
2023-04-09,156.05
2023-04-10,156.12
