DATE,IHLIDXUSTPMARK
2021-09-21,155.17
2021-09-22,155.5
2021-09-23,155.83
2021-09-24,156.23
2021-09-25,156.52
2021-09-26,156.95
2021-09-27,157.27
2021-09-28,157.79
2021-09-29,158.29
2021-09-30,158.62
2021-10-01,159.17
2021-10-02,159.85
2021-10-03,160.39
2021-10-04,160.86
2021-10-05,161.17
2021-10-06,161.36
2021-10-07,161.73
2021-10-08,161.8
2021-10-09,161.91
2021-10-10,161.91
2021-10-11,161.92
2021-10-12,161.81
2021-10-13,161.85
2021-10-14,161.92
2021-10-15,161.84
2021-10-16,161.58
2021-10-17,161.7
2021-10-18,161.88
2021-10-19,162.09
2021-10-20,162.25
2021-10-21,162.3
2021-10-22,162.5
2021-10-23,162.7
2021-10-24,162.37
2021-10-25,162.07
2021-10-26,161.89
2021-10-27,161.69
2021-10-28,161.53
2021-10-29,161.43
2021-10-30,161.51
2021-10-31,161.65
2021-11-01,161.83
2021-11-02,162.08
2021-11-03,162.36
2021-11-04,162.72
2021-11-05,163.13
2021-11-06,163.3
2021-11-07,163.78
2021-11-08,164.23
2021-11-09,164.71
2021-11-10,165.21
2021-11-11,165.85
2021-11-12,166.16
2021-11-13,166.84
2021-11-14,167.36
2021-11-15,167.65
2021-11-16,167.98
2021-11-17,168.25
2021-11-18,168.25
2021-11-19,168.52
2021-11-20,167.78
2021-11-21,167.77
2021-11-22,168.01
2021-11-23,168.11
2021-11-24,168.3
2021-11-25,168.37
2021-11-26,168.59
2021-11-27,169.6
2021-11-28,169.78
2021-11-29,169.77
2021-11-30,169.9
2021-12-01,169.76
2021-12-02,169.77
2021-12-03,169.57
2021-12-04,169.6
2021-12-05,169.71
2021-12-06,169.94
2021-12-07,169.96
2021-12-08,170.24
2021-12-09,170.75
2021-12-10,171.26
2021-12-11,171.22
2021-12-12,171.71
2021-12-13,172.16
2021-12-14,172.58
2021-12-15,173.16
2021-12-16,173.64
2021-12-17,174.39
2021-12-18,175.39
2021-12-19,175.92
2021-12-20,176.33
2021-12-21,176.19
2021-12-22,175.72
2021-12-23,175.1
2021-12-24,174.14
2021-12-25,173.16
2021-12-26,172.14
2021-12-27,171.09
2021-12-28,171.56
2021-12-29,171.76
2021-12-30,172.24
2021-12-31,172.95
2022-01-01,174.15
2022-01-02,175.23
2022-01-03,176.57
2022-01-04,177.47
2022-01-05,178.85
2022-01-06,179.78
2022-01-07,180.72
2022-01-08,180.79
2022-01-09,181.25
2022-01-10,181.58
2022-01-11,181.32
2022-01-12,180.98
2022-01-13,180.83
2022-01-14,180.13
2022-01-15,180.19
2022-01-16,179.86
2022-01-17,179.44
2022-01-18,179.22
2022-01-19,178.93
2022-01-20,178.81
2022-01-21,179.18
2022-01-22,179.17
2022-01-23,179.12
2022-01-24,179.16
2022-01-25,179.2
2022-01-26,179.36
2022-01-27,179.29
2022-01-28,179.08
2022-01-29,179.21
2022-01-30,179.66
2022-01-31,179.84
2022-02-01,180.29
2022-02-02,180.78
2022-02-03,181.35
2022-02-04,181.91
2022-02-05,182.28
2022-02-06,182.49
2022-02-07,182.96
2022-02-08,182.77
2022-02-09,182.91
2022-02-10,183.09
2022-02-11,183.35
2022-02-12,183.46
2022-02-13,183.38
2022-02-14,183.26
2022-02-15,183.14
2022-02-16,182.98
2022-02-17,182.86
2022-02-18,182.84
2022-02-19,182.37
2022-02-20,182.46
2022-02-21,182.63
2022-02-22,182.88
2022-02-23,182.99
2022-02-24,183.0
2022-02-25,182.95
2022-02-26,183.52
2022-02-27,183.63
2022-02-28,183.78
2022-03-01,183.49
2022-03-02,183.44
2022-03-03,183.36
2022-03-04,183.21
2022-03-05,182.77
2022-03-06,182.57
2022-03-07,182.26
2022-03-08,182.46
2022-03-09,182.3
2022-03-10,182.08
2022-03-11,181.78
2022-03-12,181.68
2022-03-13,181.3
2022-03-14,180.98
2022-03-15,180.67
2022-03-16,180.4
2022-03-17,180.23
2022-03-18,180.12
2022-03-19,180.1
2022-03-20,180.01
2022-03-21,179.69
2022-03-22,179.55
2022-03-23,179.27
2022-03-24,179.22
2022-03-25,179.22
2022-03-26,179.18
2022-03-27,179.33
2022-03-28,179.35
2022-03-29,179.41
2022-03-30,179.77
2022-03-31,179.77
2022-04-01,179.62
2022-04-02,179.37
2022-04-03,179.18
2022-04-04,179.1
2022-04-05,179.09
2022-04-06,178.61
2022-04-07,178.1
2022-04-08,177.62
2022-04-09,176.8
2022-04-10,175.65
2022-04-11,174.61
2022-04-12,173.56
2022-04-13,172.74
2022-04-14,172.11
2022-04-15,171.39
2022-04-16,171.24
2022-04-17,171.21
2022-04-18,171.23
2022-04-19,171.24
2022-04-20,171.19
2022-04-21,170.91
2022-04-22,170.89
2022-04-23,170.74
2022-04-24,170.36
2022-04-25,170.04
2022-04-26,169.63
2022-04-27,167.64
2022-04-28,167.35
2022-04-29,167.01
2022-04-30,166.53
2022-05-01,166.38
2022-05-02,166.13
2022-05-03,166.13
2022-05-04,167.69
2022-05-05,167.76
2022-05-06,167.83
2022-05-07,167.91
2022-05-08,168.07
2022-05-09,168.42
2022-05-10,168.58
2022-05-11,168.47
2022-05-12,168.43
2022-05-13,168.2
2022-05-14,168.23
2022-05-15,168.1
2022-05-16,167.92
2022-05-17,167.52
2022-05-18,167.49
2022-05-19,167.27
2022-05-20,167.13
2022-05-21,166.43
2022-05-22,166.14
2022-05-23,165.84
2022-05-24,165.67
2022-05-25,165.19
2022-05-26,164.71
2022-05-27,164.3
2022-05-28,164.24
