DATE,IHLIDXUSTPPRMA
2023-06-14,157.38
2023-06-15,157.08
2023-06-16,156.82
2023-06-17,156.79
2023-06-18,156.83
2023-06-19,156.85
2023-06-20,157.0
2023-06-21,156.91
2023-06-22,157.05
2023-06-23,156.97
2023-06-24,156.89
2023-06-25,156.5
2023-06-26,156.12
2023-06-27,155.75
2023-06-28,155.56
2023-06-29,155.25
2023-06-30,155.14
2023-07-01,154.91
2023-07-02,154.82
2023-07-03,154.84
2023-07-04,154.85
2023-07-05,154.74
2023-07-06,154.63
2023-07-07,154.7
2023-07-08,155.05
2023-07-09,155.39
2023-07-10,155.6
2023-07-11,155.84
2023-07-12,156.29
2023-07-13,156.84
2023-07-14,157.26
2023-07-15,157.38
2023-07-16,157.57
2023-07-17,157.65
2023-07-18,157.67
2023-07-19,157.57
